STATUS MAHASISWA,STATUS NIKAH,IPS 1,IPS 2,IPS 3,IPS 4,IPS 5,IPS 6,IPS 7,IPS 8,IPK ,STATUS KELULUSAN,PredicateCategory
0,0,2.76,2.8,3.2,3.17,2.98,3.0,3.03,0.0,3.07,0,3
1,0,3.0,3.3,3.14,3.14,2.84,3.13,3.25,0.0,3.17,0,3
0,0,3.5,3.3,3.7,3.29,3.53,3.72,3.73,0.0,3.54,0,0
1,0,3.17,3.41,3.61,3.36,3.48,3.63,3.46,0.0,3.41,0,3
0,0,2.9,2.89,3.3,2.85,2.98,3.0,3.08,0.0,3.09,0,3
0,0,2.95,2.82,3.09,3.1,2.78,3.16,3.23,0.0,3.07,0,3
1,0,2.76,3.14,2.6,2.95,3.23,3.33,3.3,3.3,3.06,1,3
1,0,2.62,2.89,2.32,2.5,2.5,2.86,3.05,2.5,2.91,1,3
0,1,3.6,3.54,3.52,3.39,3.52,3.68,3.15,0.0,3.4,0,3
0,0,2.71,2.55,1.77,2.11,1.93,2.13,1.78,0.2,2.2,0,3
0,0,3.14,3.46,3.4,3.43,3.27,3.15,3.81,4.0,3.44,0,3
0,0,2.67,2.3,1.57,1.44,1.58,1.68,1.13,0.94,2.4,0,3
0,0,2.57,2.82,2.2,2.45,2.1,2.42,1.0,1.42,2.45,0,3
0,0,2.71,3.0,2.65,2.27,2.13,3.34,2.5,0.0,2.57,0,3
1,0,3.24,3.38,3.44,3.3,3.56,3.45,3.35,3.35,3.45,0,3
1,0,2.86,2.86,2.45,1.86,3.19,3.14,2.98,2.0,3.04,0,3
1,0,2.71,3.27,2.54,3.36,3.23,3.28,3.15,2.0,3.19,0,3
0,0,2.67,2.2,1.45,3.0,3.17,3.08,3.33,0.0,2.95,0,3
1,0,2.67,2.68,1.95,1.61,2.36,2.21,0.78,0.92,2.11,0,3
1,0,3.1,3.71,2.96,3.4,3.4,3.61,3.73,0.75,3.38,1,3
0,0,3.0,3.33,2.88,2.8,3.36,3.07,3.43,4.0,3.29,0,3
0,0,3.12,3.23,2.96,3.0,3.31,3.0,3.08,3.0,3.19,0,3
1,0,2.9,3.32,2.83,2.91,3.3,2.83,3.27,4.0,3.11,0,3
